endTime,artistName,trackName,msPlayed
2020-01-14 12:20,Yann Tiersen,La Valse d'Amélie - Version piano,158666
2020-01-14 12:25,The Piano Guys,The Jungle Book / Sarabande,14937
2020-01-14 12:25,The Piano Guys,Beethoven's 5 Secrets,309773
2020-01-14 12:29,Ludovico Einaudi,Una Mattina,203800
2020-01-14 12:38,Ramin Djawadi,Light of the Seven,589094
2020-01-14 12:43,Hans Zimmer,Time,275546
2020-01-14 12:46,Massimo Viazzo,River Flows in You,188761
2020-01-14 12:50,Yiruma,Kiss The Rain,260653
2020-01-14 12:54,Lisa Gerrard,"Now We Are Free - From ""Gladiator"" Soundtrack",254306
2020-01-14 12:59,Ludovico Einaudi,Fly,278933
2020-01-14 13:00,Boris Brejcha,Gravity - Nick Schwenderling Piano Edit,61445
2020-01-14 16:42,Gemischtes Hack,#39 WENIGER APPLAUS,1206374
2020-01-14 16:49,NTO,The Morning After,408595
2020-01-14 16:56,NTO,La clé des champs,416000
2020-01-14 19:46,Worakls,Salzburg,436150
2020-01-14 19:56,NTO,Trauma - Worakls Remix,600121
2020-01-14 20:04,Worakls,Bleu,466224
2020-01-14 20:10,NTO,The Morning After,408595
2020-01-14 20:17,NTO,La clé des champs,416000
2020-01-14 20:25,NTO,Alter Ego,444878
2020-01-14 20:47,Joachim Pastor,Reykjavik,391838
2020-01-14 23:52,Gemischtes Hack,#39 WENIGER APPLAUS,2136690
2020-01-15 10:28,Gemischtes Hack,#39 WENIGER APPLAUS,626500
2020-01-15 13:59,Gemischtes Hack,#39 WENIGER APPLAUS,4936
2020-01-15 14:02,Gemischtes Hack,#40 ENGLAND ABSCHAFFEN!,189693
2020-01-15 14:34,Gemischtes Hack,#40 ENGLAND ABSCHAFFEN!,249200
2020-01-15 14:45,Parov Stelar,The Sun - LCAW Remix,32120
2020-01-15 17:12,Gemischtes Hack,#40 ENGLAND ABSCHAFFEN!,2011180
2020-01-15 20:55,NTO,La clé des champs,416000
2020-01-15 20:59,NTO,Alter Ego,167665
2020-01-15 21:01,Joachim Pastor,Reykjavik,146272
2020-01-15 21:02,Joachim Pastor,Millenium,4878
2020-01-15 21:02,Sasha,View 2 - Colin Benders Remix,28600
2020-01-15 21:02,Stephan Bodzin,Singularity,1880
2020-01-15 21:03,Northern Lite,Green Apples,77662
2020-01-15 21:03,AKA AKA,Narcotica,2260
2020-01-15 21:11,Worakls,Salzburg,436150
2020-01-15 21:18,NTO,Trauma - Worakls Remix,427406
2020-01-15 23:16,Gemischtes Hack,#40 ENGLAND ABSCHAFFEN!,2331024
2020-01-16 08:40,Gemischtes Hack,#40 ENGLAND ABSCHAFFEN!,11901
2020-01-16 08:40,Gemischtes Hack,#42 SEX-BESEN,2500
2020-01-16 09:43,Gemischtes Hack,#42 SEX-BESEN,3133984
2020-01-16 10:39,Worakls,Salzburg,436150
2020-01-16 10:49,NTO,Trauma - Worakls Remix,600121
2020-01-16 10:57,Worakls,Bleu,466224
2020-01-16 11:04,NTO,The Morning After,408595
2020-01-16 11:23,NTO,La clé des champs,332540
2020-01-16 11:30,NTO,La clé des champs,83521
2020-01-16 12:19,NTO,Alter Ego,162409
2020-01-16 14:21,Gemischtes Hack,#42 SEX-BESEN,651383
2020-01-16 15:30,Gemischtes Hack,#43 HEUTE IST MORGENS,2948986
2020-01-16 15:31,Gemischtes Hack,#42 SEX-BESEN,2178
